player,Normalized Win Probability
Andriy Shevchenko,45.410628019323674
Samuel Eto'o,15.458937198067632
Ronaldinho,11.11111111111111
Miroslav Klose,6.280193236714976
Thierry Henry,6.280193236714976
Juan Román Riquelme,3.381642512077295
Ruud van Nistelrooy,2.898550724637681
David Trezeguet,2.4154589371980677
Frank Lampard,2.4154589371980677
Levan Kobiashvili,1.4492753623188406
Kaká,0.4830917874396135
Lincoln,0.4830917874396135
Juninho Pernambucano,0.4830917874396135
Tim Borowski,0.4830917874396135
Florent Malouda,0.4830917874396135
Roy Makaay,0.4830917874396135
Bart Goor,0.0
Alessio Tacchinardi,0.0
Alexander Hleb,0.0
Anderson,0.0
Andrea Pirlo,0.0
Andreas Reinke,0.0
André Ooijer,0.0
Andrés Iniesta,0.0
Barry Ferguson,0.0
Christian Obodo,0.0
Cesc Fàbregas,0.0
Beto,0.0
Birger Maertens,0.0
Bjørn Tore Kvarme,0.0
Branislav Fodrek,0.0
Carles Puyol,0.0
Caçapa,0.0
Alberto Rivera,0.0
Christian Abbiati,0.0
Gennaro Gattuso,0.0
Alessandro Nesta,0.0
Fernando Ricksen,0.0
Anthony Réveillère,0.0
Gianluca Zambrotta,0.0
David Rivas,0.0
Deco,0.0
Dida,0.0
Diego Forlán,0.0
Edmílson,0.0
Edwin van der Sar,0.0
Emerson,0.0
Christian Schulz,0.0
Emmanuel Eboué,0.0
Espen Johnsen,0.0
Esteban Cambiasso,0.0
Ezequiel González,0.0
Fabio Cannavaro,0.0
Léo,0.0
Frank Baumann,0.0
Frank Rost,0.0
Freddie Ljungberg,0.0
Clarence Seedorf,0.0
Christian Poulsen,0.0
Gilberto Silva,0.0
Juan Pablo Sorín,0.0
Julien Rodriguez,0.0
Iker Casillas,0.0
Gonzalo Rodríguez,0.0
Grégory Coupet,0.0
Grégory Tafforeau,0.0
Guti,0.0
Hamed Namouchi,0.0
Hatem Trabelsi,0.0
Hedwiges Maduro,0.0
Henrik Larsson,0.0
Heurelho Gomes,0.0
Joaquín,0.0
John Terry,0.0
Iván Córdoba,0.0
Jaap Stam,0.0
Jamie Carragher,0.0
Jaromír Blažek,0.0
Javi Venta,0.0
Javier Zanetti,0.0
Jean Makoun,0.0
Jefferson Farfán,0.0
Jens Lehmann,0.0
Ibrahim Afellay,0.0
Giovanni van Bronckhorst,0.0
Johan Micoud,0.0
John O'Shea,0.0
Josico,0.0
José Antonio Reyes,0.0
José Gonçalves,0.0
José Mari,0.0
Juan Manuel Peña,0.0
Cris,0.0
Juan Sebastián Verón,0.0
Juliano Belletti,0.0
Juraj Čobej,0.0
John Carew,0.0
Ján Kozák,0.0
Ján Ďurica,0.0
Kakha Kaladze,0.0
Kolo Touré,0.0
Lilian Thuram,0.0
Lucho González,0.0
Alan Smith,0.0
Luisão,0.0
Luís Figo,0.0
David Beckham,0.0
Sotirios Kyrgiakos,0.0
Claude Makélélé,0.0
Melli,0.0
Marco Materazzi,0.0
Marcos Senna,0.0
Marek Kincl,0.0
Mariano Barbosa,0.0
Mario Galinović,0.0
Martin Petráš,0.0
Mathieu Flamini,0.0
Nasief Morris,0.0
Mauro Camoranesi,0.0
Michael Ballack,0.0
Eldin Jakupović,0.0
Michael Essien,0.0
Michal Kadlec,0.0
Mikael Dorsin,0.0
Pierre Womé,0.0
Morgan De Sanctis,0.0
Naldo,0.0
Phillip Cocu,0.0
Rio Ferdinand,0.0
Quique Álvarez,0.0
Marcelo Bordon,0.0
Manuel Fernandes,0.0
Manuel Almunia,0.0
Martín Demichelis,0.0
Patrick Owomoyela,0.0
Ondrej Debnár,0.0
Oliver Kahn,0.0
Oleguer Presas,0.0
Paolo Maldini,0.0
Adriano,0.0
Nuno Gomes,0.0
Patrick Vieira,0.0
Pavel Nedvěd,0.0
Pepe Reina,0.0
Peter Hlinka,0.0
Peter Løvenkrands,0.0
Peter Petráš,0.0
Petit,0.0
Petr Čech,0.0
Philippe Senderos,0.0
Nélson Marcos,0.0
Mladen Krstajić,0.0
Nicolas Anelka,0.0
Vítor Baía,0.0
Timmy Simons,0.0
Toni Doblas,0.0
Ricardo Carvalho,0.0
Maarten Stekelenburg,0.0
Robert Pirès,0.0
Roberto Carlos,0.0
Robinho,0.0
Rodolfo Arruabarrena,0.0
Ronald Waterreus,0.0
Sami Hyypiä,0.0
Sebastián Viera,0.0
Serginho,0.0
Sergio Ramos,0.0
Serkan Balcı,0.0
Silvan Aegerter,0.0
Simão Sabrosa,0.0
Sol Campbell,0.0
Steffen Hofmann,0.0
Steve Finnan,0.0
Mahamadou Diarra,0.0
Luis García,0.0
Lúcio,0.0
Ricardo Rocha,0.0
Steven Pienaar,0.0
Tony Sylva,0.0
Sven Vermant,0.0
Torsten Frings,0.0
Urby Emanuelson,0.0
Valérien Ismaël,0.0
Vincent Candela,0.0
Volkan Demirel,0.0
Víctor Valdés,0.0
Walter Samuel,0.0
Rafael Márquez,0.0
William Gallas,0.0
Willy Sagnol,0.0
Xabi Alonso,0.0
Yaya Touré,0.0
Zdeněk Pospěch,0.0
Zlatan Ibrahimović,0.0
Zé Roberto,0.0
Éric Abidal,0.0
Önder Turacı,0.0
Tiago Mendes,0.0
Sylvain Wiltord,0.0
Ümit Özat,0.0
