player,Normalized Win Probability
Cristiano Ronaldo,62.57668711656442
Steven Gerrard,11.042944785276074
Fernando Torres,6.134969325153374
Juninho Pernambucano,4.9079754601226995
Didier Drogba,3.067484662576687
Raúl,2.4539877300613497
Emmanuel Adebayor,1.8404907975460123
Lionel Messi,1.8404907975460123
Zlatan Ibrahimović,1.2269938650306749
Kaká,0.6134969325153374
Wayne Rooney,0.6134969325153374
Lucho González,0.6134969325153374
Claude Makélélé,0.6134969325153374
Thierry Henry,0.6134969325153374
Ruud van Nistelrooy,0.6134969325153374
Ryan Babel,0.6134969325153374
Júlio César,0.6134969325153374
Anthony Réveillère,0.0
Alessandro Nesta,0.0
Alexander Hleb,0.0
Alexander Tettey,0.0
Allan McGregor,0.0
Anderson,0.0
Andrea Pirlo,0.0
Andriy Pyatov,0.0
Andrés Palop,0.0
Carlos Cuéllar,0.0
Bruno Alves,0.0
Antonios Nikopolidis,0.0
Artur Boruc,0.0
Ashley Cole,0.0
Bacary Sagna,0.0
Barry Ferguson,0.0
Brandão,0.0
Alan Hutton,0.0
Carles Puyol,0.0
Esteban Cambiasso,0.0
Aleksei Berezutski,0.0
Dirk Kuyt,0.0
Andrés Iniesta,0.0
Fabian Ernst,0.0
Dani Alves,0.0
Daniel Jensen,0.0
Daniel Pudil,0.0
Daniele De Rossi,0.0
Danko Lazović,0.0
Darijo Srna,0.0
David Weir,0.0
Carlos Tevez,0.0
Deco,0.0
Deivid,0.0
Dejan Stanković,0.0
Diego Lugano,0.0
Lee Naylor,0.0
Doni,0.0
Edu Dracena,0.0
Edwin van der Sar,0.0
Emmanuel Eboué,0.0
Cesc Fàbregas,0.0
Carlos Salcido,0.0
Fabio Cannavaro,0.0
Joe Cole,0.0
José Bosingwa,0.0
Gennaro Gattuso,0.0
Fernando Gago,0.0
Fernando Meira,0.0
Florent Malouda,0.0
Frank Lampard,0.0
Frédéric Kanouté,0.0
Fábio Aurélio,0.0
Gabriel Milito,0.0
Gaby Mudingayi,0.0
Gary Caldwell,0.0
Iker Casillas,0.0
Iván Helguera,0.0
Gerald Asamoah,0.0
Gianluca Zambrotta,0.0
Guti,0.0
Gökhan Gönül,0.0
Gökçek Vederson,0.0
Heiko Westermann,0.0
Helton Arruda,0.0
Heurelho Gomes,0.0
Ieroklis Stoltidis,0.0
Gaël Clichy,0.0
Fabio Grosso,0.0
Ilsinho,0.0
Ivica Dragutinović,0.0
Jamie Carragher,0.0
Javier Mascherano,0.0
Javier Zanetti,0.0
Jermaine Jones,0.0
Jesús Navas,0.0
Christos Patsatzoglou,0.0
John Terry,0.0
Jorge Fucile,0.0
João Moutinho,0.0
Ionuț Rada,0.0
Juan,0.0
Kakha Kaladze,0.0
Karim Benzema,0.0
Kevin Kurányi,0.0
Kim Källström,0.0
Kolo Touré,0.0
Kostas Katsouranis,0.0
Aiden McGeady,0.0
Laurent Bonnart,0.0
Clarence Seedorf,0.0
Samuel Eto'o,0.0
Christian Poulsen,0.0
Luciano Galletti,0.0
Léo,0.0
Mahamadou Diarra,0.0
Mancini,0.0
Manuel Almunia,0.0
Manuel Neuer,0.0
Marcelo,0.0
Marcelo Bordon,0.0
Marco Ballotta,0.0
Marco Cassetti,0.0
Marek Sapara,0.0
Marek Suchý,0.0
Massimo Ambrosini,0.0
Matej Krajčík,0.0
Mathieu Flamini,0.0
Max Tonetto,0.0
Pepe Reina,0.0
Maxi Pereira,0.0
Paulo Assunção,0.0
Quim,0.0
Ludovic Giuly,0.0
Lorik Cana,0.0
Seydou Keita,0.0
Liédson,0.0
Ovidiu Petre,0.0
Mladen Krstajić,0.0
Michael Essien,0.0
Paul Scholes,0.0
Michał Żewłakow,0.0
Paul Hartley,0.0
Miguel Monteiro,0.0
Naldo,0.0
Patrice Evra,0.0
Nani,0.0
Paraskevas Antzas,0.0
Nemanja Vidić,0.0
Owen Hargreaves,0.0
Nicolae Dică,0.0
Michael Ballack,0.0
Michael Carrick,0.0
Abel Ferreira,0.0
Mehmet Aurélio,0.0
Maxwell,0.0
Per Ciljan Skjelbred,0.0
Simone Perrotta,0.0
David Pizarro,0.0
Philippe Mexès,0.0
Predrag Đorđević,0.0
Rafinha,0.0
Raphael Schäfer,0.0
Raul Meireles,0.0
Ricardo Carvalho,0.0
Ricardo Quaresma,0.0
Rio Ferdinand,0.0
Roberto Carlos,0.0
Ronaldinho,0.0
Rui Costa,0.0
Rémy Vercoutre,0.0
Róbinson Zapata,0.0
Răzvan Raț,0.0
Sami Hyypiä,0.0
Saša Papac,0.0
Scott Brown,0.0
Lisandro López,0.0
Lars Hirschfeld,0.0
Lilian Thuram,0.0
Philippe Senderos,0.0
Scott McDonald,0.0
Stephen McManus,0.0
Petr Čech,0.0
Steve Mandanda,0.0
Sébastien Squillaci,0.0
Tommaso Rocchi,0.0
Tonel,0.0
Vasilis Torosidis,0.0
Vidar Riseth,0.0
Volkan Demirel,0.0
Víctor Valdés,0.0
Wes Brown,0.0
William Gallas,0.0
Xavi,0.0
Yaya Touré,0.0
Yossi Benayoun,0.0
Yuri Zhirkov,0.0
Álvaro Arbeloa,0.0
Éric Abidal,0.0
İbrahim Toraman,0.0
Sidney Govou,0.0
Sergio Ramos,0.0
İbrahim Üzülmez,0.0
