player,Normalized Win Probability
Lionel Messi,33.76623376623377
Iker Casillas,9.740259740259742
Wesley Sneijder,6.493506493506493
Sergio Ramos,6.493506493506493
Gerard Piqué,5.844155844155844
Mark van Bommel,5.844155844155844
Diego Forlán,4.545454545454546
Frank Lampard,4.220779220779221
Carles Puyol,4.220779220779221
Bastian Schweinsteiger,2.922077922077922
Hugo Lloris,2.272727272727273
Júlio César,1.948051948051948
John Terry,1.2987012987012987
Patrice Evra,1.2987012987012987
Dejan Stanković,0.974025974025974
Arjen Robben,0.974025974025974
Didier Zokora,0.974025974025974
Ronaldinho,0.6493506493506493
Edin Džeko,0.6493506493506493
Philipp Lahm,0.6493506493506493
Andrés Iniesta,0.6493506493506493
Maicon Sisenando,0.3246753246753247
Diego Benaglio,0.3246753246753247
Éric Abidal,0.3246753246753247
Hans-Jörg Butt,0.3246753246753247
Diego Milito,0.3246753246753247
Samuel Eto'o,0.3246753246753247
Zlatan Ibrahimović,0.3246753246753247
Alexandre Song,0.3246753246753247
Xavi,0.3246753246753247
Xabi Alonso,0.3246753246753247
Sergio Busquets,0.3246753246753247
Andriy Shevchenko,0.0
Alessandro Nesta,0.0
Alexander Hleb,0.0
Alexandre Pato,0.0
Allan McGregor,0.0
Alou Diarra,0.0
Aly Cissokho,0.0
Andrea Pirlo,0.0
Anthony Réveillère,0.0
Andriy Yarmolenko,0.0
Aleksandr Ryazantsev,0.0
Antonio Valencia,0.0
Antonios Nikopolidis,0.0
Artem Milevskiy,0.0
Arthur Boka,0.0
Avraam Papadopoulos,0.0
Dirk Kuyt,0.0
Dudu Cearense,0.0
Aleksei Berezutski,0.0
Dani Alves,0.0
Alberto Gilardino,0.0
Alan Dzagoev,0.0
Cristian Chivu,0.0
Cédric Carrasso,0.0
César Delgado,0.0
César Navas,0.0
Edwin van der Sar,0.0
Daniel Van Buyten,0.0
Danijel Pranjić,0.0
Darren Fletcher,0.0
David Mendes da Silva,0.0
Deividas Šemberas,0.0
Dekel Keinan,0.0
Dieumerci Mbokani,0.0
Dionisis Chiotis,0.0
Branislav Ivanović,0.0
Benoît Cheyrou,0.0
Lassana Diarra,0.0
Axel Witsel,0.0
Edixon Perea,0.0
Jérémy Toulalan,0.0
Hulk,0.0
Fernando,0.0
Ekrem Dağ,0.0
Emiliano Insúa,0.0
Emmanuel Eboué,0.0
Enzo Maresca,0.0
Esteban Cambiasso,0.0
Evgeni Aldonin,0.0
Eyal Meshumar,0.0
Fabio Grosso,0.0
Gianluigi Buffon,0.0
Héctor Moreno,0.0
Fernando Menegazzo,0.0
Fernando Navarro,0.0
Florent Malouda,0.0
Franck Ribéry,0.0
Gabriel Heinze,0.0
Gary Neville,0.0
Gaël Clichy,0.0
Georgi Shchennikov,0.0
Felipe Melo,0.0
Hannu Tihinen,0.0
Helton Arruda,0.0
Holger Badstuber,0.0
Hélio Pinto,0.0
Igor Akinfeev,0.0
Iulian Apostol,0.0
Ivica Olić,0.0
Jaroslav Plašil,0.0
Javier Zanetti,0.0
Jean Makoun,0.0
Jens Lehmann,0.0
Jesús Navas,0.0
Johnny Leoni,0.0
Jorge Fucile,0.0
Alain Rochat,0.0
Juan Manuel Vargas,0.0
Clarence Seedorf,0.0
Kaká,0.0
Kevin Thomson,0.0
Kim Källström,0.0
Cris,0.0
Sascha Riether,0.0
Christian Noboa,0.0
Michaël Ciani,0.0
Marius Bilașco,0.0
Marouane Chamakh,0.0
Martín Demichelis,0.0
Massimo Ambrosini,0.0
Matteo Ferrari,0.0
Matthieu Chalmé,0.0
Matthieu Delpierre,0.0
Pedro,0.0
Michel Bastos,0.0
Christian Gentner,0.0
Miloš Krasić,0.0
Pavel Pogrebnyak,0.0
Rio Ferdinand,0.0
Pepe,0.0
Tomáš Necid,0.0
Steven Davis,0.0
Steven Whittaker,0.0
Stijn Schaars,0.0
Marcos Camozzato,0.0
Marco Marchionni,0.0
Marcelo,0.0
Marcel Schäfer,0.0
Nicolas Anelka,0.0
Abou Diaby,0.0
Nir Davidovich,0.0
Nuno Morais,0.0
Nemanja Vidić,0.0
Olof Mellberg,0.0
Pablo Brandán,0.0
Paul Scholes,0.0
Pavel Mamayev,0.0
Ognjen Vukojević,0.0
Michael Carrick,0.0
Nani,0.0
Miralem Pjanić,0.0
László Bodnár,0.0
Lúcio,0.0
Mamadou Niang,0.0
Marc Planus,0.0
Sébastien Frey,0.0
Thiago Motta,0.0
Thiago Silva,0.0
Raúl Albiol,0.0
Riccardo Montolivo,0.0
Rolando,0.0
Sami Khedira,0.0
Silvan Aegerter,0.0
Saša Papac,0.0
Serdar Tasci,0.0
Sergei Ignashevich,0.0
Sergey Ryzhikov,0.0
Sergio Romero,0.0
Seydou Keita,0.0
Sidney Govou,0.0
Lisandro López,0.0
Josué,0.0
Lee McCulloch,0.0
Benoît Trémoulinas,0.0
Bruno Alves,0.0
Cesc Fàbregas,0.0
Raúl Bravo,0.0
Raul Meireles,0.0
Thomas Müller,0.0
Radamel Falcao,0.0
Thomas Vermaelen,0.0
Vasili Berezutski,0.0
Sinan Bolat,0.0
Víctor Valdés,0.0
Walter Samuel,0.0
Wendel Geraldo,0.0
Yaya Touré,0.0
Yoann Gourcuff,0.0
Zvjezdan Misimović,0.0
Álvaro Arbeloa,0.0
Álvaro Pereira,0.0
Steve Mandanda,0.0
Simão Sabrosa,0.0
Petr Čech,0.0
Roman Eremenko,0.0
Philippe Koch,0.0
Péter Czvitkovics,0.0
İbrahim Kaş,0.0
