player,Normalized Win Probability
Kaká,38.46153846153847
Ruud van Nistelrooy,16.666666666666664
Cristiano Ronaldo,8.974358974358976
Francesco Totti,7.051282051282051
Didier Drogba,7.051282051282051
Steven Gerrard,3.8461538461538463
Peter Crouch,3.205128205128205
Zlatan Ibrahimović,2.564102564102564
Ronaldinho,2.564102564102564
Juninho Pernambucano,1.9230769230769231
Raúl,1.282051282051282
David Villa,1.282051282051282
Fernando Morientes,1.282051282051282
Wayne Rooney,1.282051282051282
Gilberto Silva,0.641025641025641
Cesc Fàbregas,0.641025641025641
Ryan Giggs,0.641025641025641
Torsten Frings,0.641025641025641
Andrea Pirlo,0.0
Andreas Ottl,0.0
Andriy Shevchenko,0.0
Anthony Vanden Borre,0.0
Antonios Nikopolidis,0.0
Arouna Koné,0.0
Ayila Yussuf,0.0
Ashley Cole,0.0
Carles Puyol,0.0
Atiba Hutchinson,0.0
Doni,0.0
Bart Goor,0.0
Bastian Schweinsteiger,0.0
Boudewijn Zenden,0.0
Brede Hangeland,0.0
Bruno Alves,0.0
Bruno Cirillo,0.0
Bănel Nicoliță,0.0
Alex,0.0
Edwin van der Sar,0.0
Alexander Hleb,0.0
Dejan Stanković,0.0
Alessandro Nesta,0.0
Artur Boruc,0.0
Cristian Chivu,0.0
Cédric Bardon,0.0
Daniel Agger,0.0
Daniel Borimirov,0.0
Daniel Carvalho,0.0
Daniele De Rossi,0.0
Christian Panucci,0.0
Darren Fletcher,0.0
David Pizarro,0.0
David Silva,0.0
Deco,0.0
Deividas Šemberas,0.0
Joris Mathijsen,0.0
Dida,0.0
Diego,0.0
Dirk Kuyt,0.0
Clarence Seedorf,0.0
Carlos Salcido,0.0
Dorin Goian,0.0
Lucho González,0.0
John Terry,0.0
Jefferson Farfán,0.0
Grégory Coupet,0.0
Fabio Cannavaro,0.0
Faryd Mondragón,0.0
Filippo Inzaghi,0.0
Florent Malouda,0.0
Frank Lampard,0.0
Gabriel Heinze,0.0
Gary Neville,0.0
Gennaro Gattuso,0.0
Grégory Tafforeau,0.0
Jan Kromkamp,0.0
Hasan Salihamidžić,0.0
Helton Arruda,0.0
Heurelho Gomes,0.0
Ieroklis Stoltidis,0.0
Igor Akinfeev,0.0
Igor Tomašić,0.0
Iker Casillas,0.0
Iván Córdoba,0.0
Jamie Carragher,0.0
Emiliano Moretti,0.0
Elin Topuzakov,0.0
Jens Lehmann,0.0
Jason Culina,0.0
Jermaine Pennant,0.0
Jesper Christiansen,0.0
John Arne Riise,0.0
John O'Shea,0.0
John Obi Mikel,0.0
Clemens Fritz,0.0
Jorge Fucile,0.0
José Bosingwa,0.0
Javier Zanetti,0.0
João Moutinho,0.0
Jérémy Toulalan,0.0
Kakha Kaladze,0.0
Kolo Touré,0.0
Kostas Katsouranis,0.0
Lars Jacobsen,0.0
Aleksei Berezutski,0.0
Lisandro López,0.0
Lucas Biglia,0.0
Jean Makoun,0.0
Cris,0.0
Sabri Sarıoğlu,0.0
Claudio Pizarro,0.0
Nuno Gomes,0.0
Matthieu Chalmé,0.0
Max Tonetto,0.0
Michael Ballack,0.0
Michael Carrick,0.0
Michael Essien,0.0
Michael Gravgaard,0.0
Miguel Monteiro,0.0
Miguel Ángel Angulo,0.0
Miroslav Klose,0.0
Mohamed Tchité,0.0
Naldo,0.0
Phillip Cocu,0.0
Nemanja Vidić,0.0
Nicolae Dică,0.0
Massimo Ambrosini,0.0
Nicolas Plestan,0.0
Neil Lennon,0.0
Abdul Kader Keïta,0.0
Predrag Đorđević,0.0
Mathieu Bodmer,0.0
Mark van Bommel,0.0
Stanislav Angelov,0.0
Massimo Oddo,0.0
Paulo Assunção,0.0
Oliver Kahn,0.0
Olivier Dacourt,0.0
Olivier Deschacht,0.0
Marco Materazzi,0.0
Paolo Maldini,0.0
Paul Scholes,0.0
Paul Telfer,0.0
Pepe,0.0
Marco Cassetti,0.0
Oleh Husyev,0.0
Pepe Reina,0.0
Mancini,0.0
Peter Odemwingie,0.0
Petr Čech,0.0
Philipp Lahm,0.0
Maicon Sisenando,0.0
Philippe Mexès,0.0
Marek Jankulovski,0.0
Simão Sabrosa,0.0
Stefano Sorrentino,0.0
Claude Makélélé,0.0
Rafael Márquez,0.0
Raúl Albiol,0.0
Ricardo,0.0
Ricardo Carvalho,0.0
Ricardo Quaresma,0.0
Richard Eromoigbe,0.0
Rio Ferdinand,0.0
Roberto Ayala,0.0
Roberto Carlos,0.0
Rodrigo Taddei,0.0
Roman Pavlyuchenko,0.0
Roman Shishkin,0.0
Roy Makaay,0.0
Răzvan Raț,0.0
Santiago Cañizares,0.0
Sergio Ramos,0.0
Mahamadou Diarra,0.0
Lee Naylor,0.0
Léo,0.0
Daniel Van Buyten,0.0
Lúcio,0.0
Radoslav Kováč,0.0
Stephen McManus,0.0
Shunsuke Nakamura,0.0
Steve Finnan,0.0
Tiago Mendes,0.0
Timmy Simons,0.0
Tobias Linderoth,0.0
Tonel,0.0
Tony Sylva,0.0
Ulrich Ramé,0.0
Víctor Valdés,0.0
Wes Brown,0.0
William Gallas,0.0
Willy Sagnol,0.0
Xabi Alonso,0.0
Yegor Titov,0.0
Yuri Zhirkov,0.0
Ânderson Polga,0.0
Édison Méndez,0.0
Sorin Ghionea,0.0
Simone Perrotta,0.0
Quim,0.0
Éric Abidal,0.0
